"STATEFP
(INCITS38)"|"OLD_COUNTYFP
(INCITS31)"|OLD_COUNTY_NAMELSAD|"NEW_COUNTYFP
(INCITS31)"|NEW_COUNTY_NAMELSAD|COUSUBFP|OLD_COUSUB_GEOID|NEW_COUSUB_GEOID|COUSUB_NAMELSAD|"COUSUBNS
(INCITS446)"|COUSUB_LSAD|COUSUB_FUNCSTAT|COUSUB_CLASSFP
09|015|Windham County|150|Northeastern Connecticut Planning Region|36000|0901536000|0915036000|Hampton town|00213441|43|A|T1
09|015|Windham County|150|Northeastern Connecticut Planning Region|73420|0901573420|0915073420|Sterling town|00213512|43|A|T1
09|015|Windham County|150|Northeastern Connecticut Planning Region|75870|0901575870|0915075870|Thompson town|00213516|43|A|T1
09|015|Windham County|150|Northeastern Connecticut Planning Region|88190|0901588190|0915088190|Woodstock town|00213541|43|A|T1
09|015|Windham County|150|Northeastern Connecticut Planning Region|62710|0901562710|0915062710|Putnam town|00213494|43|A|T1
09|015|Windham County|150|Northeastern Connecticut Planning Region|40500|0901540500|0915040500|Killingly town|00213447|43|A|T1
09|015|Windham County|150|Northeastern Connecticut Planning Region|01430|0901501430|0915001430|Ashford town|00213384|43|A|T1
09|015|Windham County|150|Northeastern Connecticut Planning Region|09190|0901509190|0915009190|Brooklyn town|00213400|43|A|T1
09|015|Windham County|150|Northeastern Connecticut Planning Region|12130|0901512130|0915012130|Canterbury town|00213403|43|A|T1
09|015|Windham County|150|Northeastern Connecticut Planning Region|13810|0901513810|0915013810|Chaplin town|00213405|43|A|T1
09|015|Windham County|150|Northeastern Connecticut Planning Region|21860|0901521860|0915021860|Eastford town|00213420|43|A|T1
09|015|Windham County|150|Northeastern Connecticut Planning Region|59980|0901559980|0915059980|Plainfield town|00213487|43|A|T1
09|015|Windham County|150|Northeastern Connecticut Planning Region|61030|0901561030|0915061030|Pomfret town|00213490|43|A|T1
09|015|Windham County|150|Northeastern Connecticut Planning Region|67400|0901567400|0915067400|Scotland town|00213501|43|A|T1
09|015|Windham County|180|Southeastern Connecticut Planning Region|86790|0901586790|0918086790|Windham town|00213537|43|A|T1


GLOSSARY
STATEFP = State FIPS Code / ANSI INCITS 38 Code
COUNTYFP = County FIPS Code / ANSI INCITS 31 Code
COUSUBFP = County Subdivision FIPS Code
LSAD = Legal Statistical Area Descriptor Code
COUSUB_GEOID = Nationally Unique Geographic Identifier, State FIPS Code + County FIPS Code + County Subdivision FIPS Code
COUSUBNS = County Subdivision National Standard (NS) Code / ANSI INCITS 446 Code
FUNCSTAT = Functional Status
CLASSFP = FIPS Class Code
